City,Month,Forecast_AQI
Ahmedabad,2020-08,153.1
Ahmedabad,2020-09,145.5
Ahmedabad,2020-10,277.1
Ahmedabad,2020-11,366.3
Ahmedabad,2020-12,151.0
Ahmedabad,2021-01,250.1
Delhi,2020-08,73.2
Delhi,2020-09,97.9
Delhi,2020-10,253.0
Delhi,2020-11,342.4
Delhi,2020-12,311.1
Delhi,2021-01,300.3
Gurugram,2020-08,69.1
Gurugram,2020-09,77.8
Gurugram,2020-10,207.1
Gurugram,2020-11,298.1
Gurugram,2020-12,279.5
Gurugram,2021-01,273.0
Lucknow,2020-08,43.6
Lucknow,2020-09,51.1
Lucknow,2020-10,188.7
Lucknow,2020-11,315.4
Lucknow,2020-12,303.6
Lucknow,2021-01,278.5
Patna,2020-08,112.0
Patna,2020-09,120.0
Patna,2020-10,233.0
Patna,2020-11,371.7
Patna,2020-12,399.9
Patna,2021-01,370.4
Talcher,2020-08,72.4
Talcher,2020-09,20.4
Talcher,2020-10,54.1
Talcher,2020-11,222.1
Talcher,2020-12,208.1
Talcher,2021-01,259.9
Brajrajnagar,2020-08,58.6
Brajrajnagar,2020-09,72.0
Brajrajnagar,2020-10,81.8
Brajrajnagar,2020-11,147.8
Brajrajnagar,2020-12,157.3
Brajrajnagar,2021-01,183.8
Jorapokhar,2020-08,94.1
Jorapokhar,2020-09,64.9
Jorapokhar,2020-10,144.9
Jorapokhar,2020-11,230.3
Jorapokhar,2020-12,236.6
Jorapokhar,2021-01,212.0
Kolkata,2020-08,50.4
Kolkata,2020-09,52.9
Kolkata,2020-10,132.5
Kolkata,2020-11,232.5
Kolkata,2020-12,261.8
Kolkata,2021-01,277.1
Jaipur,2020-08,67.4
Jaipur,2020-09,75.4
Jaipur,2020-10,141.2
Jaipur,2020-11,168.9
Jaipur,2020-12,129.7
Jaipur,2021-01,126.3
